appid;release_date;english;developer;publisher;required_age;categories;genres;steamspy_tags;achievements;gusta o no gusta;median_playtime;owners;price
700510;2017-09-03;-7.604178417933438;RBIOKuriboh;RBIOKuriboh;-0.13094760419024004;"Single-player;Steam Achievements";"Adventure;RPG";"Adventure;RPG";-0.07239255955772438;1;-0.22595143720744532;-0.5285757041394258;-0.5047161
541210;2017-06-05;0.13150664608837087;Killerfish Games;Killerfish Games;-0.13094760419024004;"Single-player;Steam Trading Cards;Includes level editor";"Indie;Simulation;Strategy";"Simulation;Strategy;Naval";-0.13289216948060817;1;-0.22595143720744532;0.9499577340128144;2.7255976
533150;2016-12-07;0.13150664608837087;CharlieH;CharlieH;-0.13094760419024004;"Single-player;Steam Achievements;Steam Trading Cards";"Action;Adventure;Indie";"Indie;Action;Adventure";-0.09149769953337189;1;0.4460830557062579;2.4284911721650544;-0.5957109
864040;2018-06-08;0.13150664608837087;Nekyau Games;Nekyau;-0.13094760419024004;Single-player;"Casual;Indie";"Indie;Casual;Clicker";-0.13289216948060817;0;-0.22595143720744532;-0.5285757041394258;-0.5957109
800710;2018-02-24;0.13150664608837087;OranCG;OranCG;-0.13094760419024004;Single-player;"Action;Indie;RPG;Simulation";"Action;RPG;Indie";-0.13289216948060817;0;-0.22595143720744532;-0.5285757041394258;0.1322472
250420;2015-01-26;0.13150664608837087;Archive Entertainment;Archive Entertainment;-0.13094760419024004;"MMO;Steam Achievements;Steam Trading Cards;Includes level editor";"Action;Adventure;Free to Play;Indie;Massively Multiplayer;RPG";"Free to Play;Massively Multiplayer;Pixel Graphics";-0.05647160957801811;1;-0.1426191600861461;3.1677578912411746;-0.68556815
774261;2018-01-05;0.13150664608837087;"Nikita ""Ghost_RUS""";Ghost_RUS Games;-0.13094760419024004;"Single-player;Steam Achievements";"Casual;Indie;Simulation";"Indie;Casual;Simulation";-0.09786607952525439;1;-0.22595143720744532;-0.5285757041394258;-0.5957109
1007260;2019-03-11;0.13150664608837087;GoshFather;GoshFather;-0.13094760419024004;Single-player;"Casual;Free to Play;Indie";"Free to Play;Indie;Casual";-0.13289216948060817;1;-0.22595143720744532;-0.5285757041394258;-0.68556815
673870;2017-11-03;0.13150664608837087;Titan Deep Space Company;Titan Deep Space Company;-0.13094760419024004;"Single-player;Full controller support";"Action;Indie;Simulation";"Action;Simulation;Indie";-0.0023403796470168187;1;-0.22595143720744532;-0.5285757041394258;-0.14073709
1044170;2019-03-26;0.13150664608837087;HugePixel;HugePixel;-0.13094760419024004;"Single-player;Steam Achievements;Steam Leaderboards";"Action;Casual;Indie";"Casual;Indie;Action";-0.08831350953743064;0;-0.22595143720744532;-0.5285757041394258;-0.49334174
711530;2017-09-22;0.13150664608837087;David Mulder;David Mulder;-0.13094760419024004;Single-player;Casual;"Casual;VR";-0.13289216948060817;1;-0.22595143720744532;-0.5285757041394258;-0.5047161
367600;2015-09-16;0.13150664608837087;Skyshine Games;Versus Evil;-0.13094760419024004;"Single-player;Steam Achievements;Steam Trading Cards";"Action;Indie;Strategy";"Strategy;Indie;Turn-Based";-0.06602417956584186;1;0.04286235995803597;0.9499577340128144;1.019446
946080;2018-10-29;0.13150664608837087;Salt & Pixel;Salt & Pixel;-0.13094760419024004;Single-player;"Action;Indie;Simulation;Strategy";"Action;Strategy;Indie";-0.13289216948060817;1;-0.22595143720744532;-0.5285757041394258;-0.5957109
586360;2017-02-08;0.13150664608837087;Virtual Light VR;Virtual Light VR;-0.13094760419024004;Single-player;"Action;Casual;Simulation;Early Access";"Early Access;Action;Casual";-0.13289216948060817;1;-0.22595143720744532;-0.5285757041394258;-0.0042449753
957430;2018-10-19;0.13150664608837087;Ripknot System;Ripknot System;-0.13094760419024004;Single-player;"Casual;Indie";"Indie;Nudity;Sexual Content";-0.13289216948060817;1;-0.22595143720744532;-0.5285757041394258;-0.117988415
550580;2017-01-19;0.13150664608837087;One More Game;One More Game;-0.13094760419024004;"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud";"Casual;Indie";"Casual;Indie";-0.07876093954960688;1;0.2767303634920047;0.21069101493669423;-0.5957109
632710;2017-07-28;0.13150664608837087;MOONSTONE;MangaGamer;-0.13094760419024004;"Single-player;Steam Trading Cards;Steam Cloud";"Sexual Content;Adventure;Casual";"Sexual Content;Adventure;Casual";-0.13289216948060817;1;-0.22595143720744532;-0.5285757041394258;2.3843672
749700;2018-02-16;0.13150664608837087;Liquid Sapling;Liquid Sapling;-0.13094760419024004;"Single-player;Steam Achievements;Full controller support";"Action;Adventure;Casual;Indie";"Indie;Action;Casual";-0.050103229586135604;1;-0.22595143720744532;-0.5285757041394258;0.10949847
793250;2018-02-23;0.13150664608837087;ThatGame Pty Ltd;Funbox Media Ltd;-0.13094760419024004;Single-player;"Casual;Indie;Strategy";"Strategy;Indie;Casual";-0.13289216948060817;0;-0.22595143720744532;-0.5285757041394258;-0.4478444
355570;2015-03-19;0.13150664608837087;AV media lab;AV media lab;-0.13094760419024004;"Single-player;Partial Controller Support";"Adventure;Indie;RPG";"Indie;Adventure;RPG";-0.13289216948060817;1;-0.22595143720744532;-0.5285757041394258;-0.23173183
681620;2017-10-23;0.13150664608837087;Hannes Delbeke;Hannes Delbeke;-0.13094760419024004;"Single-player;Steam Achievements;Steam Cloud";"Casual;Indie";"Indie;Casual;Puzzle";-0.10741864951307815;1;-0.22595143720744532;-0.5285757041394258;-0.23173183
758080;2018-08-23;0.13150664608837087;WRF Studios;WRF Studios;-0.13094760419024004;"Single-player;Steam Achievements";"Action;Indie;RPG;Early Access";"Early Access;Action;Vampire";-0.05647160957801811;1;-0.22595143720744532;-0.5285757041394258;0.6099697
373240;2015-09-17;0.13150664608837087;Deck13;Deck13;-0.13094760419024004;"Single-player;Steam Trading Cards";Adventure;"Adventure;Point & Click;Horror";-0.13289216948060817;1;-0.22595143720744532;0.21069101493669423;0.10949847
424170;2015-12-18;0.13150664608837087;GeexGames;GeexGames;-0.13094760419024004;"Single-player;Full controller support;Steam Trading Cards";"Action;Adventure;Indie;RPG;Strategy";"RPG;Adventure;Action";-0.13289216948060817;1;-0.22595143720744532;0.21069101493669423;-0.4478444
383560;2015-07-16;0.13150664608837087;Oryon Entertainment;Oryon Entertainment;-0.13094760419024004;"Single-player;Steam Trading Cards";"Adventure;Indie";"Adventure;Indie;Sandbox";-0.13289216948060817;1;0.7928528540497288;0.9499577340128144;-0.36822397
582960;2017-02-21;0.13150664608837087;WayForward;"WayForward;GamePump";-0.13094760419024004;"Single-player;Full controller support;Steam Trading Cards";"Indie;Strategy";"Strategy;Indie;Puzzle";-0.13289216948060817;1;-0.22595143720744532;-0.5285757041394258;-0.14073709
486690;2017-03-16;-7.604178417933438;Maru Project Develop Team;Maru Project Develop Team;-0.13094760419024004;"Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats";"Adventure;Indie;RPG;Strategy;Early Access";"Early Access;RPG;JRPG";0.07089599025963199;1;6.908366739564428;-0.5285757041394258;0.10949847
685120;2017-09-19;0.13150664608837087;Eder Gabriel;Eder Gabriel;-0.13094760419024004;"Single-player;Steam Achievements";"Casual;Indie";"Indie;Casual";0.029501520312395706;1;-0.22595143720744532;-0.5285757041394258;-0.5957109
968380;2018-11-15;0.13150664608837087;Özgün BURSALIOĞLU;Özgün BURSALIOĞLU;-0.13094760419024004;Single-player;"Indie;Simulation";"Indie;Simulation;VR";-0.13289216948060817;1;-0.22595143720744532;-0.5285757041394258;-0.49334174
779960;2018-05-03;0.13150664608837087;IDALGAME;IDALGAME;-0.13094760419024004;"Single-player;Steam Achievements";"Indie;Simulation;Audio Production;Early Access";"Early Access;Indie;Simulation";-0.10741864951307815;1;-0.22595143720744532;-0.5285757041394258;-0.49334174
820500;2018-03-26;0.13150664608837087;Tisnart;Tisnart;-0.13094760419024004;Single-player;"Casual;Indie";"Casual;Indie;Puzzle";-0.13289216948060817;1;-0.22595143720744532;-0.5285757041394258;-0.3568496
441790;2017-08-15;0.13150664608837087;Above and Beyond Technologies;Above and Beyond Technologies;-0.13094760419024004;"Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support";"Action;Indie;RPG";"Survival;Multiplayer;Open World";0.01039638033674819;0;0.171892982597467;0.9499577340128144;0.10949847
453090;2018-11-29;0.13150664608837087;Texel Raptor;Texel Raptor;-0.13094760419024004;"Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Includes level editor";"Indie;Simulation";"Management;Simulation;Building";-0.03099808961048809;1;1.4406941052185385;1.6892244530889344;2.0203884
722210;2018-07-31;0.13150664608837087;Georgian Opariuc;Georgian Opariuc ;-0.13094760419024004;"Single-player;Steam Achievements;Steam Cloud";"Adventure;Casual;Indie;Strategy";"Casual;Adventure;Indie";0.051790850283984474;1;-0.22595143720744532;-0.5285757041394258;-0.5957109
569940;2017-02-16;0.13150664608837087;Funly, LLC;Funly, LLC;-0.13094760419024004;"Single-player;Online Multi-Player";"Casual;Indie;Sports;Strategy";"Indie;Casual;Sports";-0.13289216948060817;1;-0.22595143720744532;-0.5285757041394258;-0.36822397
999030;2019-01-03;0.13150664608837087;XenoAmess;XenoAmess;-0.13094760419024004;"Single-player;Steam Achievements;Partial Controller Support;Steam Cloud";"Casual;Indie";"Indie;Casual;Programming";-0.1169712195009019;1;-0.22595143720744532;-0.5285757041394258;-0.5957109
523660;2017-06-21;0.13150664608837087;Digital Cybercherries;Digital Cybercherries;-0.13094760419024004;"Single-player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Full controller support";"Action;Adventure;Casual;Sports;Strategy;Early Access";"Early Access;Action;Co-op";-0.13289216948060817;1;-0.018964813390024725;-0.5285757041394258;0.56447226
346420;2015-03-30;0.13150664608837087;Weird and Wry;Weird and Wry;-0.13094760419024004;"Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud";"Indie;RPG;Simulation";"Simulation;RPG;Indie";0.01994895032457195;1;-0.22595143720744532;0.21069101493669423;0.10949847
538110;2017-05-22;0.13150664608837087;Cabbibo;Cabbibo;-0.13094760419024004;Single-player;Indie;"Indie;VR";-0.13289216948060817;1;-0.22595143720744532;-0.5285757041394258;-0.68556815
898780;2018-11-06;0.13150664608837087;RewindApp;RewindApp;-0.13094760419024004;Single-player;"Adventure;Casual;Indie";"Casual;Indie;Adventure";-0.13289216948060817;1;-0.22595143720744532;-0.5285757041394258;-0.5957109
772100;2018-01-24;0.13150664608837087;Demian Till;Demian Till;-0.13094760419024004;Single-player;"Action;Indie;Simulation";"Action;Indie;Simulation";-0.13289216948060817;0;-0.22595143720744532;-0.5285757041394258;-0.3568496
599060;2017-04-17;0.13150664608837087;5th Planet Games;5th Planet Games;-0.13094760419024004;"Online Multi-Player;Steam Achievements;In-App Purchases";"Free to Play;Massively Multiplayer;RPG";"Free to Play;Massively Multiplayer;RPG";-0.08512931954148938;0;-0.22595143720744532;-0.5285757041394258;-0.68556815
